field_1,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_basement2,was_renovated,Hub distance_HubDist
"0","7129300520",2014/10/13,221900,"3",1,"1180","5650",1,false,NONE,Average,7 Average,"1180","0.0","1955",1955,"98178",47.5112,-122.257,"1340","5650","0",false,0.372916600624024
"1","6414100192",2014/12/09,538000,"3",2.25,"2570","7242",2,false,NONE,Average,7 Average,"2170","400.0","1951",1991,"98125",47.721,-122.319,"1690","7639","400",true,0.328944917715717
"2","5631500400",2015/02/25,180000,"2",1,"770","10000",1,false,NONE,Average,6 Low Average,"770","0.0","1933",1933,"98028",47.7379,-122.233,"2720","8062","0",false,0.678380096115327
"3","2487200875",2014/12/09,604000,"4",3,"1960","5000",1,false,NONE,Very Good,7 Average,"1050","910.0","1965",1965,"98136",47.5208,-122.393,"1360","5000","910",false,0.0705171457031933
"4","1954400510",2015/02/18,510000,"3",2,"1680","8080",1,false,NONE,Average,8 Good,"1680","0.0","1987",1987,"98074",47.6168,-122.045,"1800","7503","0",false,0.644733412667576
"5","7237550310",2014/05/12,1230000,"4",4.5,"5420","101930",1,false,NONE,Average,11 Excellent,"3890","1530.0","2001",2001,"98053",47.6561,-122.005,"4760","101930","1530",false,0.073918762343707
"6","1321400060",2014/06/27,257500,"3",2.25,"1715","6819",2,false,NONE,Average,7 Average,"1715",?,"1995",1995,"98003",47.3097,-122.327,"2238","6819","0",false,0.383604728940146
"7","2008000270",2015/01/15,291850,"3",1.5,"1060","9711",1,false,NONE,Average,7 Average,"1060","0.0","1963",1963,"98198",47.4095,-122.315,"1650","9711","0",false,0.838581551639071
"8","2414600126",2015/04/15,229500,"3",1,"1780","7470",1,false,NONE,Average,7 Average,"1050","730.0","1960",1960,"98146",47.5123,-122.337,"1780","8113","730",false,0.416416988726016
"9","3793500160",2015/03/12,323000,"3",2.5,"1890","6560",2,false,NONE,Average,7 Average,"1890","0.0","2003",2003,"98038",47.3684,-122.031,"2390","7570","0",false,0.20381723626807
"10","1736800520",2015/04/03,662500,"3",2.5,"3560","9796",1,false,NONE,Average,8 Good,"1860","1700.0","1965",1965,"98007",47.6007,-122.145,"2210","8925","1700",false,0.317189144670527
"11","9212900260",2014/05/27,468000,"2",1,"1160","6000",1,false,NONE,Good,7 Average,"860","300.0","1942",1942,"98115",47.69,-122.292,"1330","6000","300",false,0.987148542284921
"12","114101516",2014/05/28,310000,"3",1,"1430","19901",1.5,false,NONE,Good,7 Average,"1430","0.0","1927",1927,"98028",47.7558,-122.229,"1780","12697","0",false,0.444992744904031
"13","6054650070",2014/10/07,400000,"3",1.75,"1370","9680",1,false,NONE,Good,7 Average,"1370","0.0","1977",1977,"98074",47.6127,-122.045,"1370","10208","0",false,0.703972883403491
"14","1175000570",2015/03/12,530000,"5",2,"1810","4850",1.5,false,NONE,Average,7 Average,"1810","0.0","1900",1900,"98107",47.67,-122.394,"1360","4850","0",false,0.171855599419079
"15","9297300055",2015/01/24,650000,"4",3,"2950","5000",2,false,GOOD,Average,9 Better,"1980","970.0","1979",1979,"98126",47.5714,-122.375,"2140","4000","970",false,0.440319850195977
"16","1875500060",2014/07/31,395000,"3",2,"1890","14040",2,false,NONE,Average,7 Average,"1890","0.0","1994",1994,"98019",47.7277,-121.962,"1890","14018","0",false,0.129760027396213
"17","6865200140",2014/05/29,485000,"4",1,"1600","4300",1.5,false,NONE,Good,7 Average,"1600","0.0","1916",1916,"98103",47.6648,-122.343,"1610","4300","0",false,0.478459318676196
