id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Hub distance_HubDist
"7129300520",10/13/2014,221900,"3",1,"1180","5650",1,,NONE,Average,7 Average,"1180","0.0","1955",0,"98178",47.5112,-122.257,"1340","5650",0.372916600624024
"6414100192",12/9/2014,538000,"3",2.25,"2570","7242",2,false,NONE,Average,7 Average,"2170","400.0","1951",1991,"98125",47.721,-122.319,"1690","7639",0.328944917714398
"5631500400",2/25/2015,180000,"2",1,"770","10000",1,false,NONE,Average,6 Low Average,"770","0.0","1933",,"98028",47.7379,-122.233,"2720","8062",0.678380096115327
"2487200875",12/9/2014,604000,"4",3,"1960","5000",1,false,NONE,Very Good,7 Average,"1050","910.0","1965",0,"98136",47.5208,-122.393,"1360","5000",0.0705171457040715
"1954400510",2/18/2015,510000,"3",2,"1680","8080",1,false,NONE,Average,8 Good,"1680","0.0","1987",0,"98074",47.6168,-122.045,"1800","7503",0.644733412667576
"7237550310",5/12/2014,1230000,"4",4.5,"5420","101930",1,false,NONE,Average,11 Excellent,"3890","1530.0","2001",0,"98053",47.6561,-122.005,"4760","101930",0.073918762343707
"1321400060",6/27/2014,257500,"3",2.25,"1715","6819",2,false,NONE,Average,7 Average,"1715",?,"1995",0,"98003",47.3097,-122.327,"2238","6819",0.383604728939707
"2008000270",1/15/2015,291850,"3",1.5,"1060","9711",1,false,,Average,7 Average,"1060","0.0","1963",0,"98198",47.4095,-122.315,"1650","9711",0.838581551639071
"2414600126",4/15/2015,229500,"3",1,"1780","7470",1,false,NONE,Average,7 Average,"1050","730.0","1960",0,"98146",47.5123,-122.337,"1780","8113",0.416416988726016
"3793500160",3/12/2015,323000,"3",2.5,"1890","6560",2,false,NONE,Average,7 Average,"1890","0.0","2003",0,"98038",47.3684,-122.031,"2390","7570",0.20381723626807
"1736800520",4/3/2015,662500,"3",2.5,"3560","9796",1,,NONE,Average,8 Good,"1860","1700.0","1965",0,"98007",47.6007,-122.145,"2210","8925",0.317189144670527
"9212900260",5/27/2014,468000,"2",1,"1160","6000",1,false,NONE,Good,7 Average,"860","300.0","1942",0,"98115",47.69,-122.292,"1330","6000",0.987148542284921
"114101516",5/28/2014,310000,"3",1,"1430","19901",1.5,false,NONE,Good,7 Average,"1430","0.0","1927",,"98028",47.7558,-122.229,"1780","12697",0.444992744904031
"6054650070",10/7/2014,400000,"3",1.75,"1370","9680",1,false,NONE,Good,7 Average,"1370","0.0","1977",0,"98074",47.6127,-122.045,"1370","10208",0.703972883403491
"1175000570",3/12/2015,530000,"5",2,"1810","4850",1.5,false,NONE,Average,7 Average,"1810","0.0","1900",0,"98107",47.67,-122.394,"1360","4850",0.17185559941842
"9297300055",1/24/2015,650000,"4",3,"2950","5000",2,false,GOOD,Average,9 Better,"1980","970.0","1979",0,"98126",47.5714,-122.375,"2140","4000",0.440319850195977
"1875500060",7/31/2014,395000,"3",2,"1890","14040",2,false,NONE,Average,7 Average,"1890","0.0","1994",0,"98019",47.7277,-121.962,"1890","14018",0.129760027396213
"6865200140",5/29/2014,485000,"4",1,"1600","4300",1.5,false,NONE,Good,7 Average,"1600","0.0","1916",0,"98103",47.6648,-122.343,"1610","4300",0.478459318676416
"16000397",12/5/2014,189000,"2",1,"1200","9850",1,false,NONE,Good,7 Average,"1200",?,"1921",0,"98002",47.3089,-122.21,"1060","5095",0.451744632764487
"7983200060",4/24/2015,230000,"3",1,"1250","9774",1,false,NONE,Good,7 Average,"1250","0.0","1969",0,"98003",47.3343,-122.306,"1280","8850",0.368768275881836
"6300500875",5/14/2014,385000,"4",1.75,"1620","4980",1,false,NONE,Good,7 Average,"860","760.0","1947",0,"98133",47.7025,-122.341,"1400","4980",0.627488453582983
"2524049179",8/26/2014,2000000,"3",2.75,"3050","44867",1,false,EXCELLENT,Average,9 Better,"2330","720.0","1968",0,"98040",47.5316,-122.233,"4110","20336",0.229605739633785
"7137970340",7/3/2014,285000,"5",2.5,"2270","6300",2,false,NONE,Average,8 Good,"2270","0.0","1995",0,"98092",47.3266,-122.169,"2240","7005",0.797711312913919
"8091400200",5/16/2014,252700,"2",1.5,"1070","9643",1,,NONE,Average,7 Average,"1070","0.0","1985",,"98030",47.3533,-122.166,"1220","8386",0.377105619528613
"3814700200",11/20/2014,329000,"3",2.25,"2450","6500",2,false,NONE,Good,8 Good,"2450","0.0","1985",0,"98030",47.3739,-122.172,"2200","6865",0.351039812267608
"1202000200",11/3/2014,233000,"3",2,"1710","4697",1.5,false,NONE,Very Good,6 Low Average,"1710","0.0","1941",0,"98002",47.3048,-122.218,"1030","4705",0.506717756210055
"1794500383",6/26/2014,937000,"3",1.75,"2450","2691",2,false,NONE,Average,8 Good,"1750","700.0","1915",,"98119",47.6386,-122.36,"1760","3573",0.793475438409994
"3303700376",12/1/2014,667000,"3",1,"1400","1581",1.5,false,NONE,Very Good,8 Good,"1400","0.0","1909",0,"98112",47.6221,-122.314,"1860","3861",0.328780929330078
"5101402488",6/24/2014,438000,"3",1.75,"1520","6380",1,false,NONE,Average,7 Average,"790","730.0","1948",,"98115",47.695,-122.304,"1520","6235",0.542135596082195
"1873100390",3/2/2015,719000,"4",2.5,"2570","7173",2,false,NONE,Average,8 Good,"2570","0.0","2005",0,"98052",47.7073,-122.11,"2630","6026",0.353609408997522
"8562750320",11/10/2014,580500,"3",2.5,"2320","3980",2,false,NONE,Average,8 Good,"2320","0.0","2003",0,"98027",47.5391,-122.07,"2580","3980",0.389907503592263
"2426039314",12/1/2014,280000,"2",1.5,"1190","1265",3,false,NONE,Average,7 Average,"1190","0.0","2005",0,"98133",47.7274,-122.357,"1390","1756",0.102255165782659
"461000390",6/24/2014,687500,"4",1.75,"2330","5000",1.5,false,NONE,Good,7 Average,"1510","820.0","1929",0,"98117",47.6823,-122.368,"1460","5000",1.51245827332095
"7589200193",11/10/2014,535000,"3",1,"1090","3000",1.5,false,NONE,Good,8 Good,"1090","0.0","1929",0,"98117",47.6889,-122.375,"1570","5080",1.19724972599038
"7955080270",12/3/2014,322500,"4",2.75,"2060","6659",1,false,NONE,Average,7 Average,"1280","780.0","1981",0,"98058",47.4276,-122.157,"2020","8720",0.305809719079624
"9547205180",6/13/2014,696000,"3",2.5,"2300","3060",1.5,false,NONE,Average,8 Good,"1510","790.0","1930",2002,"98115",47.6827,-122.31,"1590","3264",0.105267263686726
"9435300030",5/28/2014,550000,"4",1,"1660","34848",1,false,NONE,Poor,5 Fair,"930","730.0","1933",0,"98052",47.6621,-122.132,"2160","11467",0.431542003680443
"2768000400",12/30/2014,640000,"4",2,"2360","6000",2,false,NONE,Good,8 Good,"2360","0.0","1904",0,"98107",47.6702,-122.362,"1730","4700",0.833917042012016
"7895500070",2/13/2015,240000,"4",1,"1220","8075",1,false,NONE,Fair,7 Average,"890","330.0","1969",0,"98001",47.3341,-122.282,"1290","7800",0.507434142735884
"2078500320",6/20/2014,605000,"4",2.5,"2620","7553",2,false,NONE,Average,8 Good,"2620","0.0","1996",0,"98056",47.5301,-122.18,"2620","11884",0.508101041837018
"5547700270",7/15/2014,625000,"4",2.5,"2570","5520",2,,NONE,Average,9 Better,"2570","0.0","2000",,"98074",47.6145,-122.027,"2470","5669",0.177078211648983
"7766200013",8/11/2014,775000,"4",2.25,"4220","24186",1,false,NONE,Average,8 Good,"2600","1620.0","1984",0,"98166",47.445,-122.347,"2410","30617",0.416317922522617
"7203220400",7/7/2014,861990,"5",2.75,"3595","5639",2,false,NONE,Average,9 Better,"3595",?,"2014",0,"98053",47.6848,-122.016,"3625","5639",0.0975953865264248
"9270200160",10/28/2014,685000,"3",1,"1570","2280",2,false,NONE,Average,7 Average,"1570","0.0","1922",0,"98119",47.6413,-122.364,"1580","2640",0.768107498906682
"1432701230",7/29/2014,309000,"3",1,"1280","9656",1,false,NONE,Good,6 Low Average,"920","360.0","1959",0,"98058",47.4485,-122.175,"1340","8808",0.280277826448982
"8035350320",7/18/2014,488000,"3",2.5,"3160","13603",2,false,NONE,Average,8 Good,"3160","0.0","2003",,"98019",47.7443,-121.977,"3050","9232",0.165073794706314
"8945200830",3/25/2015,210490,"3",1,"990","8528",1,false,NONE,Average,6 Low Average,"990","0.0","1966",0,"98023",47.3066,-122.371,"1228","8840",0.418108955287517
"4178300310",7/16/2014,785000,"4",2.5,"2290","13416",2,false,NONE,Good,9 Better,"2290","0.0","1981",0,"98007",47.6194,-122.151,"2680","13685",0.286659198707215
"9215400105",4/28/2015,450000,"3",1.75,"1250","5963",1,false,NONE,Good,7 Average,"1250","0.0","1953",0,"98115",47.6796,-122.301,"970","5100",0.530185168618396
"822039084",3/11/2015,1350000,"3",2.5,"2753","65005",1,true,AVERAGE,Very Good,9 Better,"2165","588.0","1953",0,"98070",47.4041,-122.451,"2680","72513",0.0508384423828563
"5245600105",9/16/2014,228000,"3",1,"1190","9199",1,false,NONE,Average,7 Average,"1190","0.0","1955",0,"98148",47.4258,-122.322,"1190","9364",0.343625212823308
"7231300125",2/17/2015,345000,"5",2.5,"3150","9134",1,false,NONE,Good,8 Good,"1640","1510.0","1966",0,"98056",47.4934,-122.189,"1990","9133",0.559615317976778
"7518505990",12/31/2014,600000,"3",1.75,"1410","4080",1,false,NONE,Good,7 Average,"1000","410.0","1950",,"98117",47.6808,-122.384,"1410","4080",0.963954288511753
"3626039271",2/5/2015,585000,"2",1.75,"1980","8550",1,false,NONE,Average,7 Average,"990","990.0","1981",0,"98117",47.6989,-122.369,"1480","6738",0.815075246773559
"4217401195",3/3/2015,920000,"5",2.25,"2730","6000",1.5,false,NONE,Average,8 Good,"2130","600.0","1927",0,"98105",47.6571,-122.281,"2730","6000",0.220344008453069
"9822700295",5/12/2014,885000,"4",2.5,"2830","5000",2,,NONE,Average,9 Better,"2830","0.0","1995",0,"98105",47.6597,-122.29,"1950","5000",0.207049248019281
"9478500640",8/19/2014,292500,"4",2.5,"2250","4495",2,false,NONE,Average,7 Average,"2250","0.0","2008",,"98042",47.3663,-122.114,"2250","4500",0.0965480337254346
"2799800710",4/7/2015,301000,"3",2.5,"2420","4750",2,false,NONE,Average,8 Good,"2420","0.0","2003",0,"98042",47.3663,-122.122,"2690","4750",0.285620214996967
"7922800400",8/27/2014,951000,"5",3.25,"3250","14342",2,false,EXCELLENT,Good,8 Good,"3250","0.0","1968",,"98008",47.588,-122.116,"2960","11044",0.267121251944333
"8079040320",2/23/2015,430000,"4",3,"1850","9976",2,false,NONE,Average,8 Good,"1850","0.0","1991",0,"98059",47.5059,-122.149,"2270","8542",0.0964784072163471
"1516000055",12/10/2014,650000,"3",2.25,"2150","21235",1,,GOOD,Good,8 Good,"1590","560.0","1959",0,"98166",47.4336,-122.339,"2570","18900",0.42097777570148
"9558200045",8/28/2014,289000,"3",1.75,"1260","8400",1,false,NONE,Average,7 Average,"1260","0.0","1954",0,"98148",47.4366,-122.335,"1290","8750",0.653998637664958
"5072410070",10/21/2014,505000,"3",1.75,"2519","8690",2,,NONE,Very Good,8 Good,"2519","0.0","1973",0,"98166",47.4428,-122.344,"2500","9500",0.471475838243866
"9528102996",12/7/2014,549000,"3",1.75,"1540","1044",3,false,NONE,Average,8 Good,"1540","0.0","2014",0,"98115",47.6765,-122.32,"1580","3090",0.398030833801319
"1189001180",6/3/2014,425000,"3",2.25,"1660","6000",1,false,NONE,Average,7 Average,"1110","550.0","1979",0,"98122",47.6113,-122.297,"1440","4080",0.69759081867152
"3253500160",11/20/2014,317625,"3",2.75,"2770","3809",1.5,false,NONE,Very Good,7 Average,"1770","1000.0","1925",0,"98144",47.5747,-122.304,"1440","4000",0.437828941069586
